Case Number,Date,Year,Type,Country,Area,Location,Activity,Sex ,Age,Injury,Fatal,Time,Species ,
2015.06.25.R,Reported 25-Jun-2015,2015,Provoked,AUSTRALIA,Western Australia,Rottnest Island,Swimming,M,19,Minor lacerations to forearm when he grabbed shark by its tail     PROVOKED INCIDENT,Not Fatal,,Wobbegong shark,
2015.06.25,25-Jun-15,2015,Unprovoked,USA,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",Body surfing?,M,47,Multiple lacerations to back,Not Fatal,11h41,,
2015.06.24.b,24-Jun-15,2015,Unprovoked,USA,North Carolina,Surf City,Swimming,M,6,Minor injury to foot,Not Fatal,12h25,Sandtiger shark,
2015.06.24.a,24-Jun-15,2015,Invalid,AUSTRALIA,Western Australia,Denmark,Surfing,F,37,"Bruises and abrasions to face, chin, chest, both shins & feet and cut to right hand when her surfboard was struck with force",Not Fatal,09h30,White shark,
2015.06.23,23-Jun-15,2015,Unprovoked,USA,South Carolina,"St. Helena Island, Beaufort County",Standing,M,9,Minor injury to calf ,Not Fatal,,small shark,
2015.06.17,17-Jun-15,2015,Unprovoked,USA,Florida,Daytona Beach Shores,Swimming,M,10,Minor injury to calf ,Not Fatal,13h00,,
2015.06.14.b,14-Jun-15,2015,Unprovoked,USA,North Carolina,"Oak Island, Brunswick County",Wading,M,16,Arm amputated below shoulder,Not Fatal,17h51,Bull shark,
2015.06.14.a,14-Jun-15,2015,Unprovoked,USA,North Carolina,"Oak Island, Brunswick County",Wading,F,12,Left arm amputated at elbow & severe injury to leg,Not Fatal,16h12,Bull shark,
2015.06.13,13-Jun-15,2015,Unprovoked,USA,California,Off San Diego,,F,,Severe laceration to leg,Not Fatal,,Mako shark,
2015.06.11,11-Jun-15,2015,Unprovoked,USA,North Carolina,"Ocean Isle, Brunswick County",Boogie boarding,F,13,Minor lacerations to foot,Not Fatal,12h45,4' shark,
2015.06.07,07-Jun-15,2015,Unprovoked,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard  County",Playing,M,11,Lacerations to right calf,Not Fatal,10h50,"Bull shark, 5'",
2015.06.05,05-Jun-15,2015,Unprovoked,USA,Florida,Fort Lauderdale,Attempting to rescue a shark,F,17,Puncture wound to finger,Not Fatal,,small nurse shark,
2015.06.01,01-Jun-15,2015,Unprovoked,REUNION,Le Port,Folette,Surfing,M,47,Left forearm bitten,Not Fatal,15h00,"Bull shark, 2.5 m",
2015.05.29.b,29-May-15,2015,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Standing,F,14,Left foot bitten,Not Fatal,15h00,,
2015.05.29.a,29-May-15,2015,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,F,19,Minor lacerations to dorsum of right foot,Not Fatal,13h45,,
2015.05.24,24-May-15,2015,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Swimming,F,13,"Puncture wounds to lower left leg and ankle, shallow lacerations to foot, deep laceration to Achilles tendon",Not Fatal,,,
2015.05.20,20-May-15,2015,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,18,2 puncture wounds to  dorsum of left foot,Not Fatal,10h30,5' shark,
2015.05.15,15-May-15,2015,Unprovoked,USA,South Carolina,Sullivan's Island,,M,30,Laceration to foot ,Not Fatal,14h15,6' shark,
2015.05.09,09-May-15,2015,Unprovoked,NEW CALEDONIA,Unknown,Kouare ,Snorkeling,M,50,FATAL,Fatal,,"Bull shark, 3.5 m",
2015.05.07,07-May-15,2015,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Swimming,M,,"Lacerations to lower left leg, ankle & foot",Not Fatal,15h00,,
2015.05.03,03-May-15,2015,Unprovoked,AUSTRALIA,New South Wales,Saltwater Beach,Surfing,M,,Injuries to left arm & right hand,Not Fatal,15h00,White shark,
2015.05.02,02-May-15,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Port St. John's,Diving,M,29,"Injuries to leg, left arm & both hands",Not Fatal,13h00,"White shark, 3.5 m",
2015.04.29,29-Apr-15,2015,Unprovoked,USA,Hawaii,Kanahena Cove ,Snorkeling,F,65,FATAL,Fatal,09h00,,
2015.04.26,26-Apr-15,2015,Unprovoked,USA,Florida,"Resident's Beach, Marco Island",Wading,M,63,Lacerations to left calf,Not Fatal,16h30,3- to 4-foot shark,
2015.04.25,25-Apr-15,2015,Unprovoked,AUSTRALIA,South Australia,Fishery Bay,Surfing,M,26,Leg severed at mid-thigh,Not Fatal,09h45,"White shark, 6 m",
2015.04.24.c,24-Jun-15,2015,Unprovoked,AUSTRALIA,New South Wales,"Belongil Beach, Byron Bay",Surf skiing ,M,71,"No injury, knocked off ski",Not Fatal,11h00,"White shark, 3 m",
2015.04.13,13-Apr-15,2015,Unprovoked,USA,Florida,"Florida Keys, Monroe County",Photographing the shark,M,48,Lacerations to shoulder and left bicep,Not Fatal,,"Blue shark, 8 to 9 feet",
2015.04.12,12-Apr-15,2015,Unprovoked,REUNION,Saint-Gilles-les-Bains,Cap Homard,Surfing,M,13,FATAL,Fatal,09h00,Bull shark,
2015.04.11,11-Apr-15,2015,Unprovoked,AUSTRALIA,New South Wales,McKenzies Beach,Paddle boarding,M,,Ankle injured,Not Fatal,07h30,,
2015.04.03,03-Apr-15,2015,Unprovoked,USA,Florida,"3 miles off Jupiter, Palm Beach County",Spearfishing,M,70,Injuries to head & torso,Not Fatal,Afternoon,Bull shark,
2015.03.31,31-Mar-15,2015,Invalid,BRAZIL,Pernambuco,"Praia del Chifre, Olinda",Surfing,M,23,Injury to left thigh from unidentified species of fish; injuries inconsistent with shark bite,Not Fatal,11h00,No shark involvement,
2015.03.26,26-Mar-15,2015,Watercraft,SOUTH AFRICA,Eastern Cape Province,Yellow Sands Point,Kayak Fishing,M,36,No injury but kayak bitten,Not Fatal,,"White shark, 4 m",
2015.03.21,21-Mar-15,2015,Unprovoked,EGYPT,Unknown,Marsa Alam,Swimming,M,52,FATAL,Fatal,,Mako shark,
2015.03.18,18-Mar-15,2015,Unprovoked,USA,Hawaii,Hapuna Beach,Standing / Snorkeling,M,58,Lacerations to left forearm. Lacerations to left hand and thigh,Not Fatal,11h45,"Tiger shark, 8 to 12 feet",
2015.03.11,11-Mar-15,2015,Watercraft,AUSTRALIA,New South Wales,"Julian Rocks, Byron Bay",Fishing,M,,Bruised in falling overboard as shark bumped boat,Not Fatal,Morning,,
2015.03.10,10-Mar-15,2015,Provoked,MEXICO,Sinaloa,Mazlatan,Fishing,M,36,Right hand bitten by hooked shark PROVOKED INCIDENT,Not Fatal,10h20,,
2015.02.14,14-Feb-15,2015,Unprovoked,REUNION,d’Étang-Salé,Ravine Mula,Swimming,F,22,FATAL,Fatal,18h30,"Tiger shark, 3.5 m",
2015.02.09,09-Feb-15,2015,Unprovoked,AUSTRALIA,New South Wales,Shelly Beach,Surfing,M,41,FATAL,Fatal,10h00,3.5 to 4 m shark,
2015.02.08,08-Feb-15,2015,Unprovoked,AUSTRALIA,New South Wales,"Seven Mile Beach, Byron Bay",Surfing,M,35,Laceration & puncture wounds to right flank & hip,Not Fatal,06h45,2 m to  3 m shark,
2015.02.05,05-Feb-15,2015,Unprovoked,AUSTRALIA,New South Wales,Mereweather Beach,Bodysurfing,M,,5 minor puncture wounds to lower left leg,Not Fatal,,1.8 m shark,
2015.01.30,30-Jan-15,2015,Watercraft,AUSTRALIA,Queensland,"Nerang River, Surfer's  Paradise",Rowing,M,57,"No injury, shark's teeth scratched hull",Not Fatal,05h00,"Bull shark, 1.3 m",
2015.01.27,27-Jan-15,2015,Provoked,USA,Hawaii,Lahaina,Shark fishing,M,20,Lacerations to calf by hooked shark PROVOKED INCIDENT,Not Fatal,03h30,4' shark,
2015.01.24,24-Jan-15,2015,Unprovoked,AUSTRALIA,New South Wales,Flat Rock,Surfing,M,,"No injury, surfboard dented",Not Fatal,,,
2015.01.23,23-Jan-15,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon Beach,Floating,M,24,Foot bitten,Not Fatal,Afternoon,,
2015.01.19.b,19-Jan-15,2015,Watercraft,USA,Florida,Off Panama City,Fishing,M,,No injury but shark bit trolling motor & rammed boat,Not Fatal,,White shark,
2015.01.19.a,19-Jan-15,2015,Invalid,AUSTRALIA,New South Wales,"Wategos Beach, Byon Bay",Surfing & filming dolphins,F,,Board snapped in two,Not Fatal,,Shark involvement not confirmed,
2015.01.17,17-Jan-15,2015,Watercraft,AUSTRALIA,New South Wales,Off Blacksmith Beach,Fishing,M,,"Shark bumped boat, no injury to occupants",Not Fatal,13h45,5 m shark,
2015.01.16,16-Jan-15,2015,Unprovoked,AUSTRALIA,New South Wales,"Mollymook Beach, Bannister Head",Filming,M,17,Bitten on hand & wrist,Not Fatal,,1.5 m shark,
2015.01.08,08-Jan-15,2015,Invalid,USA,Florida,,Swimming after falling overboard,M,38,"During his 16-hour swim to shore, he was circled by a shark but it did not injure him",Not Fatal,Night,No shark involvement,
2015.01.06,06-Jan-15,2015,Unprovoked,BAHAMAS,Abaco Islands,"Tahiti Beach, Elbow Cay",Snorkeling,F,34,Severe bite to right flank,Not Fatal,16h00,White shark or oceanic whitetip shark,
2015.01.03,03-Jan-15,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Chintsa East Beach,Surfing,M,15,"Lacerations to lower left leg, puncture wounds to sole of left foot",Not Fatal,08h00,"Raggedtooth shark, 1.3 m",
2015.01.01,01-Jan-15,2015,Unprovoked,USA,Florida,"Windsor Beach, Indian River County",,M,12,Leg bitten,Not Fatal,Afternoon,"""A small shark""",
2014.12.29.b,29-Dec-14,2014,Unprovoked,AUSTRALIA,New South Wales,Bherwerre Beach,Surfing,,,Lacerations to both feet,Not Fatal,Morning,2 m shark,
2014.12.29.a,29-Dec-14,2014,Unprovoked,AUSTRALIA,Western Australia,Three Stripes near Cheynes Beach,Spearfishing,M,17,FATAL,Fatal,Morning,"White shark, 4 to 5 m",
2014.12.28.c,28-Dec-14,2014,Invalid,SOUTH AFRICA,KwaZulu-Natal,Durban,Swimming,,,Minor cuts on feet,Not Fatal,Morning,Shark involvement not confirmed & highly unlikely,
2014.12.28.b,28-Dec-14,2014,Unprovoked,USA,California,"Montaña de Oro State Park, San Luis Obispo County ",Surfing,M,50,Injury to hip/leg,Not Fatal,11h30,"White shark, 8' to 10'",
2014.12.28.a,28-Dec-14,2014,Provoked,AUSTRALIA,Victoria,Paradise Beach,Fishing,M,40s,Laceration to calf when he fell on shark he had caught PROVOKED INCIDENT,Not Fatal,Morning,1.5 m shark,
2014.12.15,15-Dec-14,2014,Unprovoked,AUSTRALIA,Queensland,Rudder Reef,Spearfishing,M,17,FATAL,Fatal,11h30,Tiger shark,
2014.11.29,29-Nov-14,2014,Unprovoked,AUSTRALIA,Western Australia,"Pyramids Beach, Port Bouvard",Surfing,M,13,Minor injuries to right leg,Not Fatal,Sometime between 06h00 & 08hoo,,
2014.11.19,19-Nov-14,2014,Watercraft,AUSTRALIA,Western Australia,Freo,Fishing,M,,"Shark chasing fish bumped boat, no injury to occupants",Not Fatal,,White shark,
2014.11.17,Reported 17-Nov-2014,2014,Watercraft,USA,California,"Franklin Point, San Mateo County",,,,"Shark bumped boat, no injury to occupants",Not Fatal,,White shark,
2014.11.16,16-Nov-14,2014,Unprovoked,USA,Florida,"Indian Harbor Beach, Brevard County",Surfing,M,44,Laceration to left hand,Not Fatal,13h00,2' shark,
2014.11.13,13-Nov-14,2014,Unprovoked,USA,Hawaii,"Airplane Beach, Lahina, West Maui",Snorkeling,M,53,Laceration to left upper leg,Not Fatal,13h30,1.5 m shark,
2014.11.10,10-Nov-14,2014,Unprovoked,AUSTRALIA,New South Wales,Moonee Beach,Surfing,M,,Minor injury to lower leg and foot,Not Fatal,06h30,,
2014.11.08,08-Nov-14,2014,Unprovoked,USA,Florida,"Fort Pierce Inlet State Park, St. Lucie County",Surfing,M,18,Minor injuries to hand & arm ,Not Fatal,16h30,,
2014.10.31,31-Oct-14,2014,Unprovoked,USA,Hawaii,"North Kohala, Hawaii County",Surfing,F,34,Lacerations to fingers,Not Fatal,11h00,"Tiger shark, 12'",
2014.10.30,29-Oct-14,2014,Provoked,AUSTRALIA,New South Wales,Wallabi Point,Surfing,M,20,Laceration to dorsum of left foot when he stepped on the shark     PROVOKED INCIDENT,Not Fatal,18h00,,
2014.10.22,22-Oct-14,2014,Unprovoked,USA,Hawaii,"Kihei, Maui",Stand-Up Paddleboarding,F,,"No injury, paddleboard bitten",Not Fatal,10h00,Tiger shark,
2014.10.20,20-Oct-14,2014,Unprovoked,USA,Hawaii,"Kahului, Maui",Stand-Up Paddleboarding,M,,"No injury, paddleboard bitten",Not Fatal,08h00,,
2014.10.19,19-Oct-14,2014,Watercraft,USA,California,"Leadbetter Beach, Santa Barbara County",Canoeing,F,,"No injury to occupant, canoe bitten",Not Fatal,,,
2014.10.18,18-Oct-14,2014,Unprovoked,USA,Hawaii,"Maalaea, South Maui",Surfing,M,,"No injury, surfboard bitten",Not Fatal,11h15,12' to 14' shark,
2014.10.17,17-Oct-14,2014,Unprovoked,AUSTRALIA,New South Wales,Avoca Beach,Surfing,F,13,"Lacerations to left calf & ankle, puncture wounds to left foot",Not Fatal,06h30,1 m shark,
2014.10.14,14-Oct-14,2014,Unprovoked,USA,South Carolina,"Hilton Head Island, Beaufort County",Standing in inner tube,F,7,Lacerations to left foot,Not Fatal,,"Bull shark, 3' to 4'",
2014.10.12,12-Oct-14,2014,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Body surfing or Boogie boarding,F,,Laceration to right hand/wrist,Not Fatal,15h30,,
2014.10.11,11-Oct-14,2014,Watercraft,AUSTRALIA,Western Australia,"Castle Rock, north of Dunsborough",Kayaking,,,,Unknown,,,
2014.10.05.b,05-Oct-14,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,29,Foot bitten,Not Fatal,11h30,Blacktip shark,
2014.10.07,07-Oct-14,2014,Unprovoked,USA,Florida,"Cherie Down Park, Brevard County",Fishing,F,40,Thigh bitten,Not Fatal,Afternoon,,
2014.10.05.a,05-Oct-14,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,15,Foot bitten,Not Fatal,11h00,Blacktip shark,
2014.10.03.b,03-Oct-14,2014,Watercraft,USA,California,Santa Barbara County,Kayaking,M,,"No injury to occupant, shark/s holded  kayak",Not Fatal,14h00,"White shark, 18' to 20'",
2014.10.03.a,03-Oct-14,2014,Watercraft,USA,California,Santa Barbara County,Kayaking ,M,,"No injury to occupant, shark/s holded  kayak",Not Fatal,11h30,White shark,
2014.10.02.b,02-Oct-14,2014,Unprovoked,USA,California,"Walls Beach, Vandenberg AFB, Santa Barbara County",Surfing,M,28,Lacerations to knee,Not Fatal,17h30,8' to 10' shark,
2014.10.02.a,02-Oct-14,2014,Unprovoked,AUSTRALIA,Western Australia,"Kelpids Beach, Wylie Bay, Esperance",Surfing,M,23,"Left arm & right hand severed, lacerations to both legs",Not Fatal,11h00,"2 white shark: 13' & 9""8""",
2014.09.21,21-Sep-14,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,,Minor injury to left foot,Not Fatal,11h30,,
2014.09.13,13-Sep-14,2014,Invalid,USA,California,"Manresa State Beach, Santa Cruz County",Surfing,M,,"A hoax, no shark involvement",Not Fatal,18h45,No shark involvement,
2014.09.09,09-Sep-14,2014,Unprovoked,AUSTRALIA,New South Wales,"Clarkes Beach, Byron Bay",Swimming,M,50,FATAL,Fatal,10h45,7' shark,
2014.09.06,06-Sep-14,2014,Unprovoked,USA,Alabama,"Katrina Cut, Dauphin Island, Mobile County",Fishing ,M,43,Leg bitten,Not Fatal,13h00,Bull shark,
2014.09.03,03-Sep-14,2014,Watercraft,USA,Massachusetts,"Manomet Point, Plymouth, Plymouth County",Kayaking ,F,20s,"No injury, shark bit kayak",Not Fatal,18h00,"White shark, 12' to 14'",
2014.09.02,02-Sep-14,2014,Provoked,USA,Florida,"Fletcher Beach, Hutchinson Island, Martin County",Fishing,M,52,Bitten twice on the leg by a shark he was attempting to free from his line PROVOKED INCIDENT,Not Fatal,20h00,3' to 4' shark,
2014.08.31,31-Aug-14,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Body surfing,F,13,Injury to left calf,Not Fatal,16h40,Spinner shark,
2014.08.29.b,29-Aug-14,2014,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,17,Lacerations to shin,Not Fatal,,Spinner shark or blacktip shark,
2014.08.29.a,29-Aug-14,2014,Invalid,USA,Florida,"Atlantic Beach, Duval County",,,,Shark involvement not confirmed,Not Fatal,16h18,Shark involvement not confirmed,
2014.08.28,28-Aug-14,2014,Provoked,USA,Maryland,Assateague National Seashore,Fishing,M,33,Lacerations to foot by hooked shark PROVOKED INCIDENT,Not Fatal,,,
2014.08.27.b,27-Aug-14,2014,Unprovoked,USA,North Carolina,"Figure Eight Island,  New Hanover County",Surfing,M,29,Laceration to left hand,Not Fatal,,4' to 6' shark,
2014.08.27.a,27-Aug-14,2014,Unprovoked,USA,South Carolina,"Surfside Beach, Horry  County",Standing,F,,Heel bitten,Not Fatal,15h00,,
2014.08.25,Reported 25-Aug-2014,2014,Provoked,USA,Florida,Apalachicola Bay ,Fishing for sharks,M,,Lacerations to forearm from hooked shark PROVOKED INCIDENT,Not Fatal,,"Bull shark, 4.5' ",
2014.08.24,24-Aug-14,2014,Unprovoked,USA,North Carolina,"Off Masonboro Island, New Hanover County",Kite boarding,,,Laceration to left foot,Not Fatal,,4' shark,
2014.08.16,16-Aug-14,2014,Unprovoked,AUSTRALIA,Western Australia,Gnaraloo,Spearfishing,M,31,Lacerations to face and neck,Not Fatal,,reef shark,
2014.08.12,12-Aug-14,2014,Unprovoked,USA,Florida,"3 to 4 miles west of Indian Pass, Gulf County",Standing,M,,Puncture wounds and lacerations to left thigh and knee,Not Fatal,11h10," Bull shark, 8'",
2014.08.10,10-Aug-14,2014,Unprovoked,USA,Florida,"Hallandale Beach, Broward County",,M,26,Puncture wounds & lacerations to foot,Not Fatal,,,
2014.08.09.R,09-Aug-14,2014,Unprovoked,BAHAMAS,Unknown,,Spearfishing,M,,Puncture wounds to right foot and ankle,Not Fatal,,"Bull shark, 9' to 10'",
2014.08.09,09-Aug-14,2014,Unprovoked,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard  County",Swimming,F,10,Puncture wounds to right foot & ankle,Not Fatal,13h30,,
2014.08.08,08-Aug-14,2014,Unprovoked,USA,Louisiana,"Lake Ponchartain off Southshore Harbor, New Orleans",Swimming,M,7,Minor lacerations to left heel and big toe,Not Fatal,Afternoon," Bull shark, 5'",
2014.08.06,06-Aug-14,2014,Unprovoked,USA,South Carolina,"Folly Beach, Charleston County",Boogie boarding,M,10,Lacerations to right leg & foot,Not Fatal,14h00,4' tp 5' shark,
2014.08.05,05-Aug-14,2014,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Swimming,F,45,Lacerations to  foot,Not Fatal,,,
2014.08.02,02-Aug-14,2014,Unprovoked,USA,Florida,"South of Cocoa Beach, Brevard County",Surfing,M,50s,Foot bitten,Not Fatal,,,
2014.08.02,02-Aug-14,2014,Unprovoked,USA,Florida,"Table Beach, Brevard County",Boogie boarding,M,8,Laceration to ankle,Not Fatal,13h00,,
2014.08.01,01-Aug-14,2014,Unprovoked,SOUTH AFRICA,Western Cape Province,Muizenberg,Surfing,M,20,Lower limbs & thigh bitten,Not Fatal,14h00,White shark,
2014.07.27,27-Jul-14,2014,Unprovoked,USA,North Carolina,"Sunset Beach, Brunswick County",Swimming,M,Teen,Left foot bitten,Not Fatal,,Possibly juvenile tiger shark,
2014.07.22,22-Jul-14,2014,Unprovoked,REUNION,Saint-Leu,,Surfing,M,51,Lacerations to right wrist & calf,Not Fatal,15h00,1.8 metre shark,
2014.07.21,21-Jul-14,2014,Unprovoked,USA,Florida,"Indialantic, Brevard County",Standing,M,8,Lacerations to right knee,Not Fatal,Early afternoon,,
2014.07.16,16-Jul-14,2014,Unprovoked,USA,Hawaii,"Paia Bay, Maui",Swimming,M,61,Lacerations to left foot,Not Fatal,17h50,6' to 8' shark,
2014.07.14,14-Jul-14,2014,Unprovoked,USA,Florida,Okaloosa Island,Swimming,M,39,Puncture wounds to foot,Not Fatal,14h30,4' shark,
2014.07.13,13-Jul-14,2014,Invalid,BAHAMAS,West End,Tiger Beach,Shark diving,M,63,"Missing after a dive, shark involvement considered probable, but not confirmed",Not Fatal,Night,Shark involvement not confirmed,
2014.07.12,12-Jul-14,2014,Unprovoked,USA,North Carolina,"Masonboro Island, New Hanover County",Body surfing,M,,Lacerations to hand and wrist,Not Fatal,,,
2014.07.09,09-Jul-14,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,14,Lacerations to foot,Not Fatal,14h00,,
2014.07.05.b,05-Jul-14,2014,Provoked,USA,California,"Manhattan Beach, Los Angeles County",Swimming,M,,PROVOKED INCIDENT Torso bitten by shark hooked by an angler,Not Fatal,09h30," White shark, 7' ",
2014.07.05.a,05-Jul-14,2014,Unprovoked,USA,California,"Oceano Dunes State Beach, San Luis Obispo County",Surfing,M,,"No injury, surboard bitten",Not Fatal,07h00 - 08h00,,
2014.07.03,03-Jul-14,2014,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Body surfing,M,19,Right hand bitten,Not Fatal,18h15-18h30,4' to 5' shark,
2014.06.25,25-Jun-14,2014,Unprovoked,BAHAMAS,Abaco Islands,,Spearfishing,M,42,No injury but shark took his pole spear,Not Fatal,13h00,"Caribbean reef shark, 7' to 8'",
2014.06.18.b,18-Jun-14,2014,Unprovoked,AUSTRALIA,South Australia,"Middleton Point, Fleurieu Peninsula",Surfing,M,,"No injury, surfboard 'attacked'",Not Fatal,17h01,,
2014.06.18.a,18-Jun-14,2014,Unprovoked,AUSTRALIA,South Australia,"Middleton Point, Fleurieu Peninsula",Body boarding,M,15,Lacerations to knee,Not Fatal,17h00,,
2014.06.17.R,Reported 17-Jun-2014,2014,Provoked,AUSTRALIA,Western Australia,Horizontal Falls,Petting a shark,M,,Lacerations to right hand by captive shark PROVOKED INCIDENT,Not Fatal,," Lemon shark, 3.5 m",
2014.06.09.c,09-Jun-14,2014,Unprovoked,BRAZIL,Unknown,500 km off the coast of Pernambuco,Fishing,M,43,Severe injury to arm,Not Fatal,,,
2014.06.09.b,09-Jun-14,2014,Unprovoked,USA,Delaware,"Cape Henlopen State Park, Sussex County",Standing,M,16,"Abrasion to right hand, lacerations to left forearm",Not Fatal,17h00," Sandbar shark, 3' to 4'",
2014.06.09.a,09-Jun-14,2014,Unprovoked,AUSTRALIA,South Australia,"Parsons Beach,  Fleurieu Peninsula",Body boarding,M,39,Minor injury to torso,Not Fatal,09h45,"Bronze whaler shark, 1.5m",
2014.06.07,07-Jun-14,2014,Unprovoked,USA,Texas,"West Beach, Galveston",Kneeling in the water,F,14,Shallow lacerations & puncture wounds below shoulder,Not Fatal,Afternoon,,
2014.06.01.c,01-Jun-14,2014,Unprovoked,USA,Florida,Fort Lauderdale,Swimming,F,22,Laceration to right lower leg,Not Fatal,13h30,Bull shark,
2014.06.01.b,01-Jun-14,2014,Unprovoked,AUSTRALIA,New South Wales,"Seven Mile Beach, Gerroa",Surfing,M,,Lacerations & puncture wounds to ankle and foot,Not Fatal,Morning,,
2014.06.01.a,01-Jun-14,2014,Unprovoked,USA,Palmyra Atoll,,Tagging sharks,F,37,Laceration to left hand,Not Fatal,,Blacktip Reef shark ,
2014.05.27.R,24-May-14,2014,Unprovoked,AUSTRALIA,Queensland,Nerang River near Chevron Island,Fell into the water,F,29,Lacerations to legs,Not Fatal,," Bull shark, 1.2m ",
2014.05.22,22-May-14,2014,Provoked,AUSTRALIA,New South Wales,The Australian Shark and Ray Centre,Teasing a shark,M,10,Cut to tip of finger by a captive shark PROVOKED INCIDENT,Not Fatal,," Tawney nurse shark, 1m",
2014.05.15,15-May-14,2014,Unprovoked,USA,Florida,"Juan Ponce de León Landing, Melbourne Beach, Brevard County",Body boarding,F,38,Calf bitten,Not Fatal,11h30,,
2014.05.14,14-May-14,2014,Unprovoked,AUSTRALIA,South Australia,"Elliston, Eyre Peninsula",Surfing,M,35,"No injury, but surfboard severely damaged",Not Fatal,09h30," white shark, 15' ",
2014.05.13,13-May-14,2014,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",Wading,F,44,Lacerations and puncture wounds to right foot,Not Fatal,11h00,,
2014.05.11,11-May-14,2014,Unprovoked,USA,Georgia,"Tybee Island, Chatham County",Surfing,M,12,Puncture wounds to right thigh,Not Fatal,,Shark involvement not confirmed,
2014.05.10.R,Reported 10-May-2014,2014,Invalid,USA,Florida,"Bethel Shoals, Indian River County",Diving,M,,"No injury. No attack. 12' white shark appeared curious, not aggressive & departed when prodded by spear",Not Fatal,,No shark involvement,
2014.05.06,06-May-14,2014,Unprovoked,USA,South Carolina,"Coligny Beach, Hilton Head, Beaufort County",Swimming,F,40,Lacerations to left foot,Not Fatal,15h00,4' to 5' shark,
2014.05.04,04-May-14,2014,Unprovoked,SOUTH AFRICA,Western Cape Province,Simonstown,Diving,,,4-inch laceration to arm,Not Fatal,,Cow shark,
2014.05.01,01-May-14,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,23,Laceration to right hand and cuts on fingertips,Not Fatal,15h00,3' shark,
2014.04.24,24-Apr-14,2014,Unprovoked,AUSTRALIA,Western Australia,"South Passage, south of Coral Bay",Spearfishing,M,,Minor injury,Not Fatal,,reef shark?,
2014.04.22,22-Apr-14,2014,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Swimming,M ,42,Laceration & puncture wounds to right foot,Not Fatal,15h30,,
2014.04.15,15-Apr-14,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,M,25,Minor lacerations to left foot,Not Fatal,09h57,,
2014.04.12.R,Reported 12-Apr-2014,2014,Watercraft,SOUTH AFRICA,Unknown,,Shark watching,,,"No injury to occupants, shark bit pontoon",Not Fatal,,White shark,
2014.04.12,12-Apr-14,2014,Provoked,SOUTH AFRICA,Eastern Cape Province,Port Alfred,Fishing,M,,Lacerations to leg & hand by hooked shark PROVOKED INCIDENT,Not Fatal,Morning," Raggedtooth shark, 2m",
2014.04.04.b,04-Apr-14,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,teen,Minor puncture wounds to lower left leg,Not Fatal,13h50,,
2014.04.04.a,04-Apr-14,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,teen,Lacerations to foot,Not Fatal,13h30,,
2014.04.03,03-Apr-14,2014,Unprovoked,AUSTRALIA,New South Wales,Tathra,Swimming,F,63,FATAL,Fatal,08h20,3 m to 4 m white shark,
2014.03.29,29-Mar-14,2014,Invalid,AUSTRALIA,Western Australia,Off Dawesville Cut,Diving for lobsters,M,38,Shark bites may have been post mortem,Not Fatal,13h30,Shark involvement prior to death not confirmed,
2014.03.22.b,22-Mar-14,2014,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St Johns",Swimming,M,66,FATAL,Fatal,15h00,2 m shark,
2014.03.22.a,22-Mar-14,2014,Unprovoked,USA,Florida,Delray Beach,Kite Surfing,M,,Lacerations to left forearm,Not Fatal,,4' to 5' shark,
2014.03.21,21-Mar-14,2014,Unprovoked,USA,Florida,Macarthur State Park,Surfing,M,9,Lacerations to toes and heel of right foot,Not Fatal,,,
2014.03.18.c,18-Mar-14,2014,Unprovoked,NEW CALEDONIA,Baie de Sainte-Marie,,Kite Surfing,M,42,Lacerations to calf,Not Fatal,17h58,,
